0_Absolute energy,0_Area under the curve,0_Autocorrelation,0_Centroid,0_Entropy,0_Mean absolute diff,0_Mean diff,0_Median absolute diff,0_Median diff,0_Negative turning points,0_Neighbourhood peaks,0_Peak to peak distance,0_Positive turning points,0_Signal distance,0_Slope,0_Sum absolute diff,0_Total energy,0_Zero crossing rate,1_Absolute energy,1_Area under the curve,1_Autocorrelation,1_Centroid,1_Entropy,1_Mean absolute diff,1_Mean diff,1_Median absolute diff,1_Median diff,1_Negative turning points,1_Neighbourhood peaks,1_Peak to peak distance,1_Positive turning points,1_Signal distance,1_Slope,1_Sum absolute diff,1_Total energy,1_Zero crossing rate,state
3229977798374.0,56774.364499999996,3229977798374.0,0.5005593638810089,0.8510547601061405,198.8858858858859,0.8498498498498499,0.0,0.0,0.0,0.0,1604.0,0.0,199193.04746775952,0.3621140661141,198687.0,3233211009383.3833,0.0,3320585441422.0,57565.424999999996,3320585441422.0,0.5005074429511674,0.8548917718119206,208.006006006006,0.9569569569569569,0.0,0.0,0.0,0.0,1610.0,0.0,208298.7800866564,0.34907101307098753,207798.0,3323909350772.773,0.0,rest_pressure
3234984645084.0,56818.452000000005,3234984645084.0,0.4997267018192394,0.782817939379038,201.46346346346346,0.5685685685685685,0.0,0.0,0.0,0.0,1124.0,0.0,201764.09916174607,0.07735476535476224,201262.0,3238222867951.952,0.0,3324181888068.0,57596.626,3324181888068.0,0.4996782676709921,0.7960897609481786,199.74774774774775,0.7167167167167167,0.0,0.0,0.0,0.0,1097.0,0.0,200049.15993759077,0.06167065367062098,199548.0,3327509397465.4653,0.0,rest_pressure
3247619607278.0,56929.3145,3247619607278.0,0.4998015643046739,0.7899510116137065,204.05105105105105,0.46346346346346345,0.0,0.0,0.0,0.0,1126.0,0.0,204347.90823934905,0.10311511911508613,203847.0,3250870477755.756,0.0,3334992961714.0,57690.2275,3334992961714.0,0.49978911697661954,0.7800568069509584,187.8968968968969,0.6716716716716716,0.0,0.0,0.0,0.0,1050.0,0.0,188215.09613394976,0.10022364422362276,187709.0,3338331293007.007,0.0,rest_pressure
3252254330340.0,56969.906,3252254330340.0,0.49946165173891705,0.7873366116483727,205.86186186186185,0.32232232232232233,0.0,0.0,0.0,0.0,1119.0,0.0,206156.78523598367,-0.013162093162121042,205656.0,3255509840180.18,0.0,3340130440106.0,57734.662500000006,3340130440106.0,0.49949134215424557,0.7738768643313162,188.38538538538538,0.5495495495495496,0.0,0.0,0.0,0.0,1021.0,0.0,188698.3850224848,-0.0029995949995853025,188197.0,3343473914020.02,0.0,rest_pressure
3249708580660.0,56947.5425,3249708580660.0,0.4995832940439887,0.7912816785462935,207.25625625625625,0.33733733733733734,0.0,0.0,0.0,0.0,1117.0,0.0,207549.74854069127,0.028469740469725842,207049.0,3252961542202.202,0.0,3337978727140.0,57716.023499999996,3337978727140.0,0.49958213715397004,0.7955588708711502,190.06706706706706,0.5735735735735735,0.0,0.0,0.0,0.0,1039.0,0.0,190378.10742470168,0.028490860490828426,189877.0,3341320047187.187,0.0,rest_pressure
3250158422460.0,56951.453499999996,3250158422460.0,0.4995287491078571,0.7869170233740304,207.57057057057057,0.26126126126126126,0.0,0.0,0.0,0.0,1126.0,0.0,207863.7332948004,0.009804441804394423,207363.0,3253411834294.2944,0.0,3338618440742.0,57721.554,3338618440742.0,0.4995527256007221,0.7914079486852247,190.43043043043042,0.5185185185185185,0.0,0.0,0.0,0.0,1038.0,0.0,190741.07601999072,0.01828511428510007,190240.0,3341960401143.143,0.0,rest_pressure
3246819871566.0,56922.16650000001,3246819871566.0,0.49941361643839804,0.8027732226723225,208.56356356356358,0.16916916916916916,0.0,0.0,0.0,0.0,1144.0,0.0,208855.73430026547,-0.029584565584548923,208355.0,3250069941507.5073,0.0,3336204051978.0,57700.678499999995,3336204051978.0,0.4994531962531353,0.7947854326254089,191.56856856856857,0.45145145145145144,0.0,0.0,0.0,0.0,1035.0,0.0,191878.2298636939,-0.01622480822484797,191377.0,3339543595573.5737,0.0,rest_pressure
3242361080962.0,56883.029500000004,3242361080962.0,0.49945818669686665,0.7891537258169841,208.27527527527528,0.16916916916916916,0.0,0.0,0.0,0.0,1127.0,0.0,208567.7730362557,-0.014325110325098126,208067.0,3245606687649.6494,0.0,3331751601394.0,57662.151,3331751601394.0,0.49946481359590167,0.7823233684799864,191.67167167167167,0.4624624624624625,0.0,0.0,0.0,0.0,1033.0,0.0,191982.30326727056,-0.012190644190686844,191480.0,3335086688082.082,0.0,rest_pressure
3244289470000.0,56899.925,3244289470000.0,0.4994561176604355,0.774007800970106,205.7197197197197,0.2182182182182182,0.0,0.0,0.0,0.0,1124.0,0.0,206014.84503336187,-0.01501902301902329,205514.0,3247537007007.007,0.0,3332829831152.0,57671.470499999996,3332829831152.0,0.4994675412983511,0.7693596119512947,190.13713713713713,0.5155155155155156,0.0,0.0,0.0,0.0,1041.0,0.0,190465.9659735019,-0.011259947259965822,189947.0,3336165997149.149,0.0,rest_pressure
3245583839766.0,56911.233,3245583839766.0,0.49959953116851524,0.7896431126686543,204.17417417417417,0.17217217217217218,0.0,0.0,0.0,0.0,1122.0,0.0,204470.8811112985,0.03401223401222953,203970.0,3248832672438.4385,0.0,3333379708552.0,57676.18949999999,3333379708552.0,0.4995876364968907,0.7680194044116561,190.01101101101102,0.45145145145145144,0.0,0.0,0.0,0.0,1040.0,0.0,190328.87372912528,0.03034059034056446,189821.0,3336716424976.977,0.0,rest_pressure
