0_Absolute energy,0_Area under the curve,0_Autocorrelation,0_Centroid,0_Entropy,0_Mean absolute diff,0_Mean diff,0_Median absolute diff,0_Median diff,0_Negative turning points,0_Neighbourhood peaks,0_Peak to peak distance,0_Positive turning points,0_Signal distance,0_Slope,0_Sum absolute diff,0_Total energy,0_Zero crossing rate,1_Absolute energy,1_Area under the curve,1_Autocorrelation,1_Centroid,1_Entropy,1_Mean absolute diff,1_Mean diff,1_Median absolute diff,1_Median diff,1_Negative turning points,1_Neighbourhood peaks,1_Peak to peak distance,1_Positive turning points,1_Signal distance,1_Slope,1_Sum absolute diff,1_Total energy,1_Zero crossing rate,state,person
932.5516108506384,1.4004489225857941,932.5516108506383,1.6271272808178099,0.7739781103342016,0.1627259631901775,0.0001689842344362189,0.0,0.0,0.0,0.0,1.0,0.0,3089.4292938500157,5.8734174123784744e-05,488.0151636073424,310.95418834632824,2.0,1153.0110970850556,1.5882338308457715,1153.0110970850558,1.606884882725864,0.7715803875338558,0.15941189904650363,0.0002294850079932666,0.0,0.0,0.0,0.0,1.0,0.0,3099.627824427636,5.582282249146158e-05,478.07628524046436,384.46518742415986,2.0,rest_pressure,pedro
1014.199411992688,1.4476968537414967,1014.1994119926883,1.4843348829261118,0.7627916678911123,0.176729828310117,6.776635295665411e-05,0.0,0.0,0.0,0.0,1.0,0.0,3104.324380018582,-9.321945858145224e-06,530.0127551020408,338.1791970632504,2.0,1101.1715365580367,1.471476167778837,1101.1715365580362,1.4849705951273346,0.7568290869197691,0.18198026606263099,0.00017005986425090488,0.0,0.0,0.0,0.0,1.0,0.0,3121.9144133878826,-5.413017019198514e-06,545.7588179218303,367.17957204336,2.0,rest_pressure,pedro
1073.81194833211,1.4755287206266319,1073.8119483321102,1.523244797185169,0.7343699243296887,0.17930403839283823,7.400203897382682e-05,0.0,0.0,0.0,0.0,1.0,0.0,3114.014492043225,1.1092548568352894e-05,537.7328111401218,358.0566683334811,2.0,964.8912852388194,1.3513032863849768,964.8912852388196,1.5102007894137301,0.7208068656927448,0.1791307587662241,0.0001703228149602292,0.0,0.0,0.0,0.0,1.0,0.0,3115.49195709548,6.134655246051987e-06,537.2131455399061,321.7376743043746,2.0,rest_pressure,pedro
1075.0141491850231,1.5072636669470143,1075.0141491850234,1.487458237202509,0.752082237611924,0.17092128550840188,4.73945478321757e-05,0.0,0.0,0.0,0.0,1.0,0.0,3104.163482391973,-6.485514224023596e-06,512.5929352396972,358.4575355735322,2.0,977.0113625415534,1.3864136657433057,977.0113625415534,1.494753608280494,0.736084160984135,0.17351921246755997,0.00014778702780890034,0.0,0.0,0.0,0.0,1.0,0.0,3108.864919831489,-2.9387851834106406e-06,520.3841181902123,325.77904719624985,2.0,rest_pressure,pedro
1142.4123500337491,1.5392169312169313,1142.4123500337491,1.4557824672705864,0.7545784419023511,0.17232728369774053,4.116598536961157e-06,0.0,0.0,0.0,0.0,1.0,0.0,3114.5060513741973,-2.2719690551061117e-05,516.8095238095239,380.9310937091528,2.0,962.1273343819182,1.3855027124773962,962.1273343819182,1.460205127158231,0.7356693673494048,0.17575900827702062,0.00011275609048706369,0.0,0.0,0.0,0.0,1.0,0.0,3105.4769883298077,-1.966188685413369e-05,527.1012658227849,320.8160501440207,4.0,rest_pressure,pedro
766.0403679398837,1.3100802845528456,766.0403679398835,1.298530986314763,0.835804914777656,0.09588324834565451,6.777326859631216e-07,0.0,0.0,0.0,0.0,1.0,0.0,3037.9364738277773,-7.68987000528817e-05,287.5538617886179,255.43193329105824,2.0,667.5556834942279,1.2119055979643767,667.5556834942279,1.2878353417929178,0.8375410037933434,0.09894375309157336,6.261629194464311e-05,0.0,0.0,0.0,0.0,1.0,0.0,3033.1551563686176,-7.666711714169531e-05,296.7323155216285,222.59275875099294,2.0,rest_pressure,pedro
1211.8833381028535,1.585607798165138,1211.883338102853,1.4986091794098688,0.747383213326974,0.17421434056000318,-3.05912368342474e-07,0.015596330275229331,0.0,0.0,0.0,1.0,0.0,3120.287531981774,-2.771095109121955e-07,522.4688073394495,404.0958113047194,2.0,977.5098807057864,1.4082506690454952,977.5098807057864,1.5030517158542358,0.7547960759568036,0.17787731206268872,2.9745270427640116e-06,0.09723461195361284,0.0,0.0,0.0,1.0,1.0,3104.463958158389,1.5261240668833094e-06,533.4540588760035,325.9452753270378,2.0,rest_pressure,pedro
935.957697409286,1.3898006562756358,935.957697409286,1.5767359014089533,0.7828534390436506,0.15750779382025348,6.291405311204299e-05,0.0336341263330599,0.0,0.0,0.0,1.0,0.0,3093.6679585961147,3.7223176864009745e-05,472.36587366694016,312.08992911279955,2.0,906.4879039074895,1.356993271656855,906.4879039074895,1.5916186008685465,0.7781487060788868,0.1692944466209791,7.5719100086908e-05,0.10513036164844408,0.0,0.0,0.0,1.0,0.0,3095.7132670871515,3.8889439327123176e-05,507.71404541631625,302.2633890988628,6.0,rest_pressure,pedro
453.506246708033,0.9088163082437277,453.506246708033,2.1720577453420926,0.7821260232200513,0.08259921766036708,0.0001822590803864132,0.0,0.0,0.0,0.0,1.0,0.0,3024.803990093942,0.00015469731189189558,247.71505376344086,151.2191552877736,2.0,500.1964803243576,0.9816748111950246,500.19648032435754,2.1444288825197177,0.7785149324416969,0.08534638156447528,0.00018783100956649396,0.04398045313194132,0.0,0.0,0.0,1.0,0.0,3026.2886045867554,0.000157335088709279,255.9537983118614,166.7877560267948,4.0,rest_pressure,pedro
1242.6422192949508,1.784625245357089,1242.6422192949508,1.3593742776168638,0.8699897453451824,0.032994439688663654,-0.00014882408082376048,0.002264834667069282,0.0,1.0,2.0,1.0,2.0,3003.2410518260444,-3.6984579478062245e-05,98.95032462630229,414.35219049514865,2.0,1155.7917287549612,1.7197177957177958,1155.7917287549615,1.3330844026893889,0.868780043158752,0.036260946230936224,-0.00015308718209685194,0.010705510705510735,0.0,1.0,0.0,1.0,0.0,3004.430301188936,-4.527648009019524e-05,108.74657774657774,385.3923737095569,2.0,rest_pressure,pedro
