0_Absolute energy,0_Area under the curve,0_Autocorrelation,0_Centroid,0_Entropy,0_Mean absolute diff,0_Mean diff,0_Median absolute diff,0_Median diff,0_Negative turning points,0_Neighbourhood peaks,0_Peak to peak distance,0_Positive turning points,0_Signal distance,0_Slope,0_Sum absolute diff,0_Total energy,0_Zero crossing rate,1_Absolute energy,1_Area under the curve,1_Autocorrelation,1_Centroid,1_Entropy,1_Mean absolute diff,1_Mean diff,1_Median absolute diff,1_Median diff,1_Negative turning points,1_Neighbourhood peaks,1_Peak to peak distance,1_Positive turning points,1_Signal distance,1_Slope,1_Sum absolute diff,1_Total energy,1_Zero crossing rate,state,person
309.6141607882372,0.4420195729537366,309.6141607882372,0.5161849522560003,0.782817939379038,0.17923795681802798,0.0005058439222140286,0.0,0.0,0.0,0.0,1.0,0.0,1036.3531653248365,6.882096561811845e-05,179.05871886120997,309.9240848731103,2.0,389.005031539568,0.5111385597082954,389.005031539568,0.5118205485674862,0.7960897609481786,0.18208545829329784,0.0006533424947280927,0.0,0.0,0.0,0.0,1.0,0.0,1040.5314754167366,5.6217551203877715e-05,181.90337283500455,389.3944259655335,2.0,rest_pressure,pedro
324.5601478378012,0.461616785079929,324.5601478378011,0.5212513709762523,0.7899510116137065,0.18121762970786062,0.0004116016549409092,0.0,0.0,0.0,0.0,1.0,0.0,1035.6744382209606,9.15764823402479e-05,181.03641207815275,324.88503287067186,2.0,420.27059410430843,0.5346795238095239,420.27059410430843,0.5188644472054101,0.7800568069509584,0.17894942561609228,0.0006396873063539737,0.0,0.0,0.0,0.0,1.0,0.0,1042.1824337792618,9.54510897368037e-05,178.7704761904762,420.6912853896981,2.0,rest_pressure,pedro
324.2513925924861,0.45971224307417335,324.2513925924861,0.4976551073139307,0.7873366116483727,0.18396949228048423,0.00028804497079742763,0.0,0.0,0.0,0.0,1.0,0.0,1036.4352840977892,-1.1762371011700991e-05,183.78552278820374,324.57596856104715,2.0,391.06294744738557,0.503369735553379,391.06294744738557,0.4988052322541784,0.7738768643313162,0.18451066149401116,0.0005382463756606758,0.0,0.0,0.0,0.0,1.0,0.0,1043.250484881573,-2.937899118114746e-06,184.32615083251716,391.4544018492348,2.0,rest_pressure,pedro
327.70896273029575,0.46108460161145925,327.70896273029575,0.5059659148391108,0.7912816785462935,0.18554723030998768,0.00030200298776843134,0.0,0.0,0.0,0.0,1.0,0.0,1037.1293758294835,2.548768170970453e-05,185.3616830796777,328.0369997300258,2.0,379.5061883928149,0.4978628488931665,379.5061883928149,0.5050983508984588,0.7955588708711502,0.1829326920760992,0.0005520438629197047,0.0,0.0,0.0,0.0,1.0,0.0,1041.3286939679938,2.7421424919018453e-05,182.7497593840231,379.8860744672822,2.0,rest_pressure,pedro
348.77366871839206,0.483940053285968,348.77366871839206,0.5021561352749375,0.7869170233740304,0.18434331311773586,0.00023202598691053313,0.0,0.0,0.0,0.0,1.0,0.0,1036.9242250989691,8.707319542132753e-06,184.15896980461812,349.12279150990196,2.0,377.99824213601823,0.4988583815028902,377.99824213601823,0.5032489673398514,0.7914079486852247,0.1834589888539792,0.0004995361450082068,0.0,0.0,0.0,0.0,1.0,0.0,1040.5422097190813,1.761571703768215e-05,183.27552986512524,378.376618754773,2.0,rest_pressure,pedro
343.88136797642915,0.47954239510489516,343.8813679764292,0.4945465422229622,0.8027732226723225,0.18231080731080732,0.0001478751478751482,0.0,0.0,0.0,0.0,1.0,0.0,1036.707679367829,-2.586063425224292e-05,182.1284965034965,344.22559356999915,2.0,350.70415458937197,0.47144782608695657,350.704154589372,0.4960896511149034,0.7947854326254089,0.1850904044140759,0.00043618497724777955,0.0,0.0,0.0,0.0,1.0,0.0,1040.4276773300905,-1.5676143212375224e-05,184.90531400966182,351.05520979917117,2.0,rest_pressure,pedro
353.99202915609357,0.48307409050576755,353.9920291560936,0.4974318732580646,0.7891537258169841,0.18480503573671275,0.00015010574016785264,0.0,0.0,0.0,0.0,1.0,0.0,1038.735022765591,-1.2710834361233467e-05,184.62023070097604,354.3463755316252,2.0,336.2521720306366,0.4563397870280736,336.25217203063664,0.49694301383920253,0.7823233684799864,0.18554856889803648,0.0004476887342327812,0.0,0.0,0.0,0.0,1.0,0.0,1040.4465512913782,-1.1801204443992446e-05,185.36302032913844,336.588760791428,2.0,rest_pressure,pedro
375.99289522675747,0.5038389679715303,375.9928952267576,0.49694564939105773,0.774007800970106,0.1830246616723485,0.00019414432225820085,0.0,0.0,0.0,0.0,1.0,0.0,1039.0601978661339,-1.3362120123686026e-05,182.84163701067615,376.3692644912487,2.0,329.85638393586305,0.45314841498559083,329.85638393586305,0.4974644201192744,0.7693596119512947,0.18264854672155348,0.0004952118304663937,0.0,0.0,0.0,0.0,1.0,0.0,1039.4650334933008,-1.0816471911572851e-05,182.46589817483192,330.18657050636943,4.0,rest_pressure,pedro
363.02998687726586,0.49077540106951867,363.02998687726586,0.5065582384152079,0.7896431126686543,0.18197341726753494,0.00015345113384329005,0.0,0.0,0.0,0.0,1.0,0.0,1038.9909025890156,3.0313934057249193e-05,181.7914438502674,363.3933802575234,2.0,319.7659541420119,0.4427524038461539,319.7659541420119,0.5067570210085931,0.7680194044116561,0.1827028952028952,0.00043408793408793796,0.0,0.0,0.0,0.0,1.0,0.0,1039.2395579917234,2.9173644558259712e-05,182.5201923076923,320.0860401821941,2.0,rest_pressure,pedro
364.7097534735734,0.4920271247739602,364.7097534735734,0.5104907146432365,0.7863822252941415,0.18369906977501915,0.0001556710417469918,0.0,0.0,0.0,0.0,1.0,0.0,1039.2135579323876,5.022150410938833e-05,183.51537070524412,365.0748283018753,4.0,324.21299047140315,0.4451190009794319,324.21299047140315,0.5137125191665508,0.775838463585649,0.18368711512688005,0.0004460876155293393,0.0,0.0,0.0,0.0,1.0,0.0,1039.9200444464734,6.154953069742485e-05,183.50342801175316,324.5375279994025,2.0,rest_pressure,pedro
